trade_date,PSX_Close,PSX_Return_pct,pos_mean,neg_mean,neu_mean,sent_mean,sent_std,n_texts,BTC_Close,BTC_Return_pct
2025-03-06,113713.18,1.3001078983902126,0.08387648615126427,0.08203620300884103,0.8340873104612251,0.0018402831424232367,0.2179446573852332,91,90120.0,-0.8013384994716488
2025-03-07,114398.7,0.6028500829895034,0.08786684561234254,0.11721978225341813,0.794913372861953,-0.02935293664107559,0.2928761571665492,247,87014.0,-3.446515756768753
2025-03-10,114356.34,-0.03702839280516068,0.10123964789241867,0.0805940364718788,0.8181663160393764,0.02064561142053987,0.2420628006279315,616,78734.0,-2.6689577590150004
2025-03-11,114177.66,-0.15624844236882263,0.07046936918050051,0.3154514618217945,0.6140792071819305,-0.244982092641294,0.38338064021035956,2,83142.0,5.598597810348771
2025-03-12,114084.54,-0.08155711020878531,0.08849680801041615,0.09837464109445229,0.8131285569606683,-0.009877833084036142,0.2673145742189489,39,83856.0,0.8587717399148431
2025-03-14,115536.17,0.3839722995694572,0.1313330247066915,0.07134246844280925,0.7973245142234696,0.05999055626388225,0.28391513500861554,36,84207.0,3.5896615778272523
2025-03-17,116199.59,0.5742097907521115,0.11425315939193366,0.07660643954780728,0.8091403987967748,0.03764671984412637,0.24777692436262472,1056,84240.0,1.7895334646382821
2025-03-18,117001.09,0.6897614698984755,0.11081345501204025,0.06509204476759954,0.8240945002695931,0.045721410244440715,0.21394487397265421,227,82942.0,-1.5408357075023749
2025-03-19,117974.03,0.831564902515014,0.11748999637093036,0.05578789263869149,0.8267221105696284,0.06170210373223887,0.22160849287561513,197,87029.0,4.927539726555907
2025-03-20,118769.77,0.6745043803284556,0.11467426127881337,0.0694409921757122,0.8158847469393378,0.04523326910310117,0.25164221942098486,227,84296.0,-3.1403325328338783
2025-03-21,118442.18,-0.2758193435922429,0.11882022071309042,0.05466226337243192,0.8265175150818382,0.0641579573406585,0.2218896469063346,302,84144.0,-0.18031697826705884
2025-03-24,116439.62,-1.6907490220122612,0.10959018994548492,0.06395343008530992,0.8264563807419368,0.045636759860175,0.2252064004116074,875,87614.0,1.5802715330836659
2025-04-07,114909.49,-3.2680492889820667,0.10924717758941214,0.1077549090396946,0.7829979085098437,0.0014922685497175388,0.28881369514118777,123,79181.0,0.9433841995895031
2025-04-08,115532.43,0.5421136235135959,0.13094310329711817,0.10360618842210859,0.7654507011571463,0.027336914875009593,0.2674483725834505,47,76332.0,-3.598085399275075
2025-04-09,114153.16,-1.1938379552823286,0.07288595047430135,0.12861026788596064,0.7985038023907691,-0.055724317411659285,0.3037680126671336,32,82542.0,8.135513284074825
2025-04-10,116189.21,1.7836124729267322,0.130420723894857,0.060712508857250214,0.8088667737144344,0.0697082150376068,0.24306719851084257,53,79553.0,-3.621186789755515
2025-04-11,114853.33,-1.1497453162819582,0.0838943919085938,0.08229655144817155,0.833809037571368,0.0015978404604222464,0.18355892231605433,23,83372.0,4.800573202770475
2025-04-14,116390.04,1.337976008183639,0.10012794706966735,0.06687566839872364,0.8329963840826781,0.03325227867094372,0.23297649298844492,501,84544.0,1.028882807738718
2025-04-15,116775.5,0.3311795407923368,0.11919766026293885,0.0724102714583788,0.8083920639569628,0.04678738880456004,0.2489929312585647,438,83667.0,-1.0373296744890181
2025-04-16,116020.11,-0.646873702103612,0.12753460849469653,0.06817168115247998,0.8042937116550186,0.05936292734221655,0.2541641266775043,506,84021.0,0.423105884040309
2025-04-17,116901.13,0.7593683543309915,0.0976096779128076,0.1231752964217336,0.7792150284293838,-0.025565618508926,0.2998809533602682,93,84827.0,0.9592839885266713
2025-04-18,117315.59,0.35453891677521554,0.09258931094197936,0.10421570056187221,0.8031949915144869,-0.011626389619892855,0.27307183139979774,633,84363.0,-0.5469956499699391
2025-04-21,118383.38,0.9101859352196984,0.10064963406344671,0.08063572332707324,0.8187146431886387,0.020013910736373482,0.24480230814960555,1157,87473.0,2.8864136251896655
2025-04-22,118430.35,0.039676177517478095,0.10499264256108597,0.07955734244076512,0.8154500130990363,0.025435300120320845,0.25968775931001903,498,93303.0,6.664913744812684
2025-04-23,117226.15,-1.0168001698888984,0.08015536882269841,0.15451127140281293,0.7653333718960101,-0.07435590258011451,0.29529564847990647,65,93639.0,0.3601170380373553
2025-04-24,115019.82,-1.8821141869795999,0.07869285163144733,0.10428821906274141,0.8170189172635938,-0.025595367431294088,0.24543824308188336,43,93940.0,0.3214472602227625
2025-04-28,114063.9,-1.2171628228616616,0.1056439855729733,0.0756542296043347,0.8187017848287199,0.029989755968638607,0.24286035263466668,309,95046.0,1.3456453126332812
2025-04-29,114872.18,0.7086203435092031,0.09959473868316793,0.0698161851099514,0.8305890747762107,0.02977855357321653,0.2192688433374045,235,94451.0,-0.6260126675504463
2025-04-30,111326.58,-3.086561080324224,0.10062945410949974,0.08319163594349492,0.8161789095256387,0.01743781816600481,0.24290121848592935,410,94309.0,-0.150342505637846
2025-05-02,114113.94,2.5037686417745064,0.10695100687735248,0.09269904884058633,0.8003499407107787,0.014251958036766155,0.2706780212732409,384,96887.0,0.4353820477468906
2025-05-12,117297.73,9.445415445295646,0.0957457423357195,0.13072799818524927,0.7735262583015345,-0.03498225584952978,0.31251319826913887,855,102860.0,-1.1816697089057526
